,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count
0,"[14, 9, 8, 0, 3, 1, 11, 10, 4, 2, 7, 12, 13, 5, 15, 6]",0.0,RandomGeneration,6,2,130
1,"[8, 4, 1, 11, 15, 2, 14, 9, 6, 7, 3, 0, 12, 13, 5, 10]",0.0010006427764892578,RandomGeneration,6,6,135
2,"[1, 0, 5, 12, 6, 10, 4, 7, 2, 9, 15, 14, 13, 3, 8, 11]",0.0,RandomGeneration,6,1,125
3,"[14, 12, 7, 2, 13, 0, 8, 10, 11, 3, 4, 1, 15, 6, 5, 9]",0.0010089874267578125,RandomGeneration,6,3,129
4,"[11, 9, 2, 3, 1, 13, 12, 8, 7, 10, 15, 5, 4, 0, 6, 14]",0.0,RandomGeneration,4,15,120
5,"[14, 10, 13, 7, 6, 15, 3, 11, 4, 12, 2, 0, 1, 9, 5, 8]",0.0005435943603515625,RandomGeneration,6,7,134
6,"[12, 11, 6, 13, 9, 15, 8, 3, 1, 2, 5, 4, 7, 0, 10, 14]",0.0,RandomGeneration,6,4,134
7,"[9, 2, 8, 3, 11, 10, 15, 13, 4, 0, 12, 1, 6, 5, 7, 14]",0.0010294914245605469,RandomGeneration,8,1,128
8,"[3, 8, 11, 2, 7, 14, 1, 15, 0, 10, 5, 13, 12, 9, 6, 4]",0.0,RandomGeneration,6,2,127
9,"[2, 9, 7, 6, 11, 1, 4, 10, 13, 14, 8, 0, 5, 15, 12, 3]",0.0009987354278564453,RandomGeneration,6,2,127
10,"[11, 3, 2, 15, 5, 0, 13, 8, 10, 14, 9, 6, 12, 4, 7, 1]",0.0,RandomGeneration,6,6,132
11,"[7, 8, 14, 10, 11, 15, 5, 3, 9, 0, 4, 2, 13, 12, 6, 1]",0.0,RandomGeneration,4,21,126
12,"[1, 7, 2, 11, 14, 6, 12, 9, 3, 4, 13, 5, 15, 0, 10, 8]",0.0010001659393310547,RandomGeneration,6,2,127
13,"[6, 12, 0, 8, 13, 14, 1, 3, 7, 5, 11, 2, 10, 9, 15, 4]",0.0,RandomGeneration,8,1,130
