,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count,is_bijective,nonlinearity
0,"[12, 10, 9, 15, 6, 1, 5, 7, 0, 4, 8, 3, 13, 14, 11, 2]",0.0003628730773925781,RandomGeneration,6,2,130,True,True
1,"[14, 11, 4, 7, 2, 12, 13, 10, 0, 8, 6, 5, 15, 9, 3, 1]",0.00017189979553222656,RandomGeneration,4,18,123,True,True
2,"[6, 7, 0, 1, 3, 8, 9, 15, 12, 13, 2, 5, 10, 11, 4, 14]",0.00015091896057128906,RandomGeneration,8,1,138,True,True
3,"[3, 0, 10, 6, 8, 5, 14, 1, 4, 12, 2, 11, 7, 15, 13, 9]",0.0001518726348876953,RandomGeneration,8,2,135,True,True
4,"[11, 4, 9, 12, 10, 15, 6, 8, 13, 2, 5, 7, 1, 3, 0, 14]",0.0001556873321533203,RandomGeneration,8,3,144,True,True
5,"[11, 15, 7, 0, 2, 3, 1, 6, 8, 14, 5, 10, 9, 12, 13, 4]",0.0001506805419921875,RandomGeneration,6,2,127,True,True
6,"[7, 3, 5, 0, 1, 11, 6, 4, 9, 12, 15, 13, 14, 2, 8, 10]",0.0002353191375732422,RandomGeneration,6,6,132,True,True
7,"[7, 5, 10, 6, 9, 11, 8, 12, 14, 0, 1, 13, 4, 3, 15, 2]",0.00015926361083984375,RandomGeneration,6,3,132,True,True
8,"[15, 3, 14, 2, 9, 5, 10, 6, 1, 13, 11, 4, 12, 0, 8, 7]",0.00014853477478027344,RandomGeneration,12,1,149,True,True
9,"[11, 9, 10, 2, 1, 15, 5, 12, 8, 3, 7, 0, 13, 14, 4, 6]",0.0001442432403564453,RandomGeneration,8,1,128,True,True
10,"[12, 4, 13, 1, 14, 5, 10, 9, 0, 15, 2, 7, 3, 8, 11, 6]",0.00014448165893554688,RandomGeneration,4,21,126,True,True
11,"[11, 14, 4, 9, 13, 5, 12, 2, 3, 8, 6, 0, 10, 7, 15, 1]",0.00014519691467285156,RandomGeneration,8,1,136,True,True
12,"[3, 13, 12, 4, 10, 14, 9, 15, 6, 8, 0, 2, 7, 1, 5, 11]",0.0002028942108154297,RandomGeneration,6,6,135,True,True
13,"[10, 5, 3, 14, 8, 6, 15, 7, 11, 1, 2, 13, 4, 0, 12, 9]",0.00016117095947265625,RandomGeneration,6,2,127,True,True
14,"[4, 5, 1, 12, 13, 8, 2, 11, 10, 7, 0, 15, 6, 3, 14, 9]",0.00014925003051757812,RandomGeneration,6,3,132,True,True
15,"[12, 7, 1, 2, 6, 3, 0, 14, 8, 10, 9, 15, 5, 13, 11, 4]",0.00015163421630859375,RandomGeneration,6,2,127,True,True
16,"[5, 0, 9, 1, 11, 7, 10, 3, 8, 2, 14, 15, 13, 6, 12, 4]",0.0001461505889892578,RandomGeneration,8,1,130,True,True
