,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count,is_bijective,nonlinearity
0,"[8, 9, 1, 10, 15, 11, 5, 13, 0, 12, 6, 3, 4, 2, 7, 14]",0.018667936325073242,DDTConstruction,4,18,123,True,True
1,"[4, 15, 12, 3, 6, 0, 8, 1, 10, 11, 9, 14, 2, 7, 5, 13]",0.016940832138061523,DDTConstruction,4,24,129,True,True
2,"[15, 7, 11, 12, 4, 9, 1, 6, 3, 5, 8, 13, 2, 10, 14, 0]",0.015174150466918945,DDTConstruction,4,21,126,True,True
3,"[8, 3, 2, 11, 14, 10, 1, 13, 12, 0, 4, 9, 7, 15, 6, 5]",0.0172879695892334,DDTConstruction,4,15,120,True,True
4,"[5, 4, 2, 9, 6, 15, 11, 14, 8, 7, 13, 0, 1, 12, 3, 10]",0.013751983642578125,DDTConstruction,4,21,126,True,True
5,"[3, 11, 4, 15, 12, 9, 8, 1, 6, 13, 14, 2, 0, 5, 10, 7]",0.015688180923461914,DDTConstruction,4,21,126,True,True
6,"[2, 14, 3, 15, 5, 6, 1, 9, 13, 4, 0, 7, 10, 11, 12, 8]",0.01283121109008789,DDTConstruction,4,24,129,True,True
7,"[4, 7, 15, 5, 9, 14, 1, 13, 6, 10, 3, 0, 2, 11, 8, 12]",0.024350643157958984,DDTConstruction,4,15,120,True,True
8,"[7, 5, 1, 2, 3, 9, 4, 13, 12, 0, 10, 15, 11, 6, 8, 14]",0.025686025619506836,DDTConstruction,4,15,120,True,True
9,"[4, 15, 0, 11, 7, 14, 8, 9, 2, 6, 10, 5, 1, 12, 13, 3]",0.04446291923522949,DDTConstruction,4,18,123,True,True
10,"[14, 1, 12, 4, 15, 10, 9, 5, 11, 3, 0, 13, 8, 7, 2, 6]",0.021483898162841797,DDTConstruction,4,15,120,True,True
11,"[11, 5, 9, 4, 14, 1, 3, 13, 6, 0, 10, 8, 12, 7, 2, 15]",0.021508216857910156,DDTConstruction,4,21,126,True,True
12,"[15, 11, 6, 1, 10, 0, 12, 3, 8, 13, 2, 4, 7, 14, 5, 9]",0.0243532657623291,DDTConstruction,4,18,123,True,True
13,"[15, 4, 12, 1, 10, 2, 14, 5, 11, 6, 7, 0, 13, 8, 3, 9]",0.01707148551940918,DDTConstruction,4,18,123,True,True
14,"[14, 11, 4, 10, 6, 1, 9, 8, 15, 2, 3, 0, 7, 13, 5, 12]",0.031563520431518555,DDTConstruction,4,18,123,True,True
15,"[5, 15, 14, 7, 8, 4, 9, 0, 1, 12, 11, 6, 3, 2, 13, 10]",0.013753414154052734,DDTConstruction,4,21,126,True,True
16,"[6, 12, 5, 10, 2, 1, 3, 14, 13, 4, 11, 15, 8, 7, 9, 0]",0.0257871150970459,DDTConstruction,4,21,126,True,True
17,"[15, 9, 4, 7, 3, 6, 2, 0, 14, 11, 10, 1, 13, 12, 5, 8]",0.024040699005126953,DDTConstruction,4,21,126,True,True
18,"[4, 9, 1, 0, 7, 12, 13, 5, 14, 11, 2, 10, 6, 15, 3, 8]",0.018204212188720703,DDTConstruction,4,21,126,True,True
19,"[12, 14, 6, 10, 2, 9, 3, 15, 8, 13, 4, 1, 7, 5, 0, 11]",0.01495671272277832,DDTConstruction,4,24,129,True,True
20,"[8, 12, 2, 7, 1, 5, 0, 13, 15, 4, 10, 3, 14, 9, 11, 6]",0.028831005096435547,DDTConstruction,4,18,123,True,True
21,"[10, 3, 9, 5, 2, 15, 8, 12, 7, 0, 14, 1, 6, 4, 11, 13]",0.015265941619873047,DDTConstruction,4,24,129,True,True
22,"[5, 12, 7, 6, 9, 13, 10, 14, 1, 0, 4, 8, 2, 11, 3, 15]",0.04592752456665039,DDTConstruction,4,24,129,True,True
23,"[14, 9, 5, 3, 15, 7, 0, 4, 12, 2, 8, 6, 1, 11, 13, 10]",0.01666855812072754,DDTConstruction,4,18,123,True,True
24,"[5, 7, 9, 1, 2, 14, 0, 10, 6, 12, 3, 11, 4, 15, 13, 8]",0.014354944229125977,DDTConstruction,4,21,126,True,True
25,"[9, 6, 0, 7, 10, 15, 13, 3, 11, 1, 2, 14, 4, 12, 5, 8]",0.015808582305908203,DDTConstruction,4,18,123,True,True
26,"[8, 13, 0, 4, 14, 15, 6, 1, 5, 3, 10, 7, 11, 12, 2, 9]",0.04055643081665039,DDTConstruction,4,21,126,True,True
27,"[0, 14, 6, 12, 13, 8, 10, 2, 11, 3, 9, 15, 4, 1, 5, 7]",0.07836484909057617,DDTConstruction,4,21,126,True,True
28,"[12, 6, 1, 7, 9, 10, 3, 11, 8, 2, 4, 13, 0, 5, 15, 14]",0.016347646713256836,DDTConstruction,4,15,120,True,True
29,"[13, 8, 11, 3, 12, 9, 4, 7, 14, 15, 0, 2, 6, 5, 10, 1]",0.01415395736694336,DDTConstruction,4,18,123,True,True
30,"[9, 2, 6, 10, 13, 4, 0, 15, 5, 11, 3, 14, 1, 7, 8, 12]",0.10259580612182617,DDTConstruction,4,21,126,True,True
31,"[11, 6, 7, 0, 14, 9, 12, 4, 10, 1, 3, 2, 15, 5, 8, 13]",0.019057512283325195,DDTConstruction,4,24,129,True,True
32,"[7, 5, 2, 3, 0, 1, 12, 14, 4, 10, 6, 11, 9, 13, 8, 15]",0.01572585105895996,DDTConstruction,4,24,129,True,True
33,"[0, 9, 13, 14, 12, 3, 5, 7, 11, 6, 8, 4, 1, 2, 15, 10]",0.01519465446472168,DDTConstruction,4,15,120,True,True
34,"[1, 6, 10, 0, 14, 2, 15, 3, 12, 9, 7, 4, 13, 11, 5, 8]",0.026192188262939453,DDTConstruction,4,15,120,True,True
35,"[11, 13, 14, 9, 0, 2, 12, 6, 8, 1, 3, 15, 10, 5, 4, 7]",0.014997005462646484,DDTConstruction,4,15,120,True,True
36,"[0, 13, 6, 9, 5, 10, 15, 4, 3, 8, 7, 11, 12, 14, 1, 2]",0.029526710510253906,DDTConstruction,4,18,123,True,True
37,"[5, 0, 4, 13, 15, 7, 8, 1, 14, 12, 10, 9, 6, 2, 3, 11]",0.01373147964477539,DDTConstruction,4,18,123,True,True
38,"[2, 12, 9, 7, 5, 1, 3, 4, 11, 8, 10, 15, 14, 13, 6, 0]",0.05206704139709473,DDTConstruction,4,15,120,True,True
39,"[13, 1, 5, 10, 9, 12, 0, 14, 4, 6, 11, 15, 2, 7, 8, 3]",0.014317512512207031,DDTConstruction,4,15,120,True,True
40,"[4, 3, 9, 1, 10, 2, 15, 12, 13, 0, 8, 6, 14, 11, 5, 7]",0.04556894302368164,DDTConstruction,4,21,126,True,True
41,"[15, 2, 5, 7, 13, 4, 1, 10, 3, 11, 6, 9, 8, 0, 14, 12]",0.014036178588867188,DDTConstruction,4,24,129,True,True
42,"[11, 8, 3, 0, 12, 6, 1, 13, 2, 5, 4, 15, 7, 9, 10, 14]",0.01726055145263672,DDTConstruction,4,18,123,True,True
43,"[13, 5, 15, 6, 2, 3, 4, 7, 12, 14, 11, 0, 8, 9, 1, 10]",0.031400442123413086,DDTConstruction,4,18,123,True,True
44,"[9, 13, 6, 8, 5, 3, 0, 11, 1, 15, 12, 4, 14, 10, 7, 2]",0.016658544540405273,DDTConstruction,4,21,126,True,True
45,"[0, 15, 10, 11, 7, 5, 8, 2, 4, 3, 12, 6, 14, 13, 1, 9]",0.0646660327911377,DDTConstruction,4,21,126,True,True
46,"[9, 15, 8, 3, 13, 10, 0, 2, 7, 12, 14, 1, 11, 5, 4, 6]",0.013179779052734375,DDTConstruction,4,21,126,True,True
47,"[0, 11, 1, 15, 6, 7, 12, 13, 10, 8, 5, 3, 2, 9, 4, 14]",0.2715339660644531,DDTConstruction,4,24,129,True,True
48,"[7, 3, 5, 13, 4, 0, 14, 8, 11, 6, 12, 15, 2, 9, 1, 10]",0.0188291072845459,DDTConstruction,4,18,123,True,True
49,"[2, 13, 11, 3, 7, 4, 15, 1, 8, 0, 10, 6, 5, 12, 14, 9]",0.03567981719970703,DDTConstruction,4,15,120,True,True
50,"[5, 13, 11, 2, 4, 7, 10, 15, 9, 3, 14, 12, 6, 1, 0, 8]",0.03817629814147949,DDTConstruction,4,18,123,True,True
51,"[5, 14, 0, 9, 3, 11, 2, 1, 15, 7, 10, 8, 12, 13, 4, 6]",0.015449047088623047,DDTConstruction,4,18,123,True,True
52,"[2, 10, 7, 3, 14, 11, 5, 8, 4, 1, 13, 6, 0, 9, 15, 12]",0.019366979598999023,DDTConstruction,4,21,126,True,True
