,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count,nonlinearity,balancedness
0,"[0, 1, 2, 3, 4, 5, 7, 12, 8, 15, 6, 10, 9, 14, 11, 13]",0.002991438,PrescribedDDT,6,2,127,2,TRUE
1,"[0, 1, 2, 14, 4, 15, 9, 12, 8, 10, 13, 5, 6, 3, 7, 11]",0.00199461,PrescribedDDT,6,3,129,2,TRUE
2,"[0, 1, 2, 3, 4, 15, 12, 13, 8, 5, 9, 10, 11, 14, 6, 7]",0.002004862,PrescribedDDT,8,1,132,2,TRUE
3,"[0, 1, 2, 14, 4, 5, 12, 6, 8, 7, 10, 11, 9, 13, 15, 3]",0.001987696,PrescribedDDT,8,1,138,2,TRUE
4,"[0, 1, 2, 11, 4, 6, 3, 15, 8, 12, 7, 14, 13, 9, 5, 10]",0.001991987,PrescribedDDT,6,6,135,2,TRUE
5,"[0, 1, 2, 7, 4, 6, 14, 15, 8, 9, 13, 10, 5, 11, 12, 3]",0.001995564,PrescribedDDT,6,4,128,2,TRUE
6,"[0, 1, 2, 14, 4, 5, 12, 10, 8, 9, 13, 3, 7, 11, 15, 6]",0.001993656,PrescribedDDT,6,2,127,2,TRUE
7,"[0, 1, 2, 12, 4, 9, 5, 10, 8, 7, 14, 13, 3, 6, 15, 11]",0.00199461,PrescribedDDT,6,3,129,2,TRUE
8,"[0, 1, 2, 15, 4, 12, 3, 7, 8, 5, 9, 11, 14, 6, 13, 10]",0.001966953,PrescribedDDT,6,3,132,2,TRUE
9,"[0, 1, 2, 10, 4, 12, 6, 9, 8, 3, 14, 15, 5, 11, 7, 13]",0.002022505,PrescribedDDT,6,2,130,2,TRUE
10,"[0, 1, 2, 6, 4, 9, 12, 7, 8, 10, 13, 5, 15, 14, 3, 11]",0.001994371,PrescribedDDT,6,4,131,2,TRUE
11,"[0, 1, 2, 14, 4, 6, 12, 15, 8, 13, 10, 9, 7, 5, 3, 11]",0.001995564,PrescribedDDT,6,2,127,2,TRUE
12,"[0, 1, 2, 9, 4, 6, 5, 10, 8, 3, 11, 14, 7, 12, 13, 15]",0.001996279,PrescribedDDT,6,2,127,2,TRUE
13,"[0, 1, 2, 7, 4, 5, 11, 6, 8, 13, 12, 3, 15, 10, 14, 9]",0.002989531,PrescribedDDT,6,4,131,2,TRUE
14,"[0, 1, 2, 7, 4, 5, 13, 6, 8, 14, 10, 12, 15, 9, 11, 3]",0.001997471,PrescribedDDT,6,5,136,2,TRUE
15,"[0, 1, 2, 13, 4, 9, 14, 7, 8, 12, 15, 10, 6, 11, 3, 5]",0.001997232,PrescribedDDT,8,1,136,2,TRUE
16,"[0, 1, 2, 15, 4, 5, 3, 12, 8, 11, 7, 9, 14, 10, 13, 6]",0.001989603,PrescribedDDT,6,4,128,2,TRUE
17,"[0, 1, 2, 5, 4, 10, 3, 7, 8, 13, 9, 6, 15, 11, 12, 14]",0.00199914,PrescribedDDT,6,2,127,2,TRUE
18,"[0, 1, 2, 13, 4, 5, 7, 9, 8, 6, 15, 11, 14, 3, 10, 12]",0.001992702,PrescribedDDT,6,5,136,2,TRUE
19,"[0, 1, 2, 6, 4, 15, 12, 14, 8, 9, 7, 3, 10, 13, 11, 5]",0.001991987,PrescribedDDT,8,1,136,2,TRUE
20,"[0, 1, 2, 11, 4, 3, 9, 10, 8, 6, 14, 13, 5, 7, 12, 15]",0.001994848,PrescribedDDT,8,1,138,2,TRUE
21,"[0, 1, 2, 10, 4, 9, 5, 12, 8, 13, 3, 7, 15, 6, 11, 14]",0.001998901,PrescribedDDT,6,3,126,2,TRUE
22,"[0, 1, 2, 14, 4, 10, 6, 11, 8, 12, 5, 15, 9, 7, 3, 13]",0.002156734,PrescribedDDT,6,2,124,2,TRUE
23,"[0, 1, 2, 13, 4, 15, 14, 6, 8, 7, 11, 12, 5, 9, 10, 3]",0.001971483,PrescribedDDT,6,2,127,2,TRUE
24,"[0, 1, 2, 3, 4, 12, 5, 11, 8, 9, 13, 7, 14, 15, 6, 10]",0.001991034,PrescribedDDT,8,1,134,2,TRUE
25,"[0, 1, 2, 5, 4, 15, 3, 6, 8, 13, 12, 7, 11, 10, 14, 9]",0.002993107,PrescribedDDT,8,1,140,2,TRUE
26,"[0, 1, 2, 15, 4, 3, 12, 5, 8, 11, 9, 14, 13, 10, 7, 6]",0.001993656,PrescribedDDT,6,2,127,2,TRUE
27,"[0, 1, 2, 3, 4, 5, 11, 15, 8, 9, 10, 14, 12, 7, 6, 13]",0.00196743,PrescribedDDT,10,1,154,0,TRUE
28,"[0, 1, 2, 10, 4, 5, 14, 13, 8, 6, 11, 3, 12, 15, 7, 9]",0.002022028,PrescribedDDT,8,1,140,2,TRUE
29,"[0, 1, 2, 3, 4, 10, 11, 7, 8, 14, 15, 12, 13, 5, 6, 9]",0.001994371,PrescribedDDT,8,2,143,2,TRUE
30,"[0, 1, 2, 14, 4, 6, 12, 7, 8, 10, 13, 5, 15, 3, 9, 11]",0.002007246,PrescribedDDT,6,11,148,0,TRUE
31,"[0, 1, 2, 15, 4, 5, 11, 6, 8, 9, 10, 12, 13, 14, 7, 3]",0.00198245,PrescribedDDT,6,6,135,2,TRUE
32,"[0, 1, 2, 5, 4, 6, 11, 3, 8, 12, 9, 14, 10, 15, 7, 13]",0.001996994,PrescribedDDT,8,1,128,2,TRUE
33,"[0, 1, 2, 14, 4, 13, 5, 11, 8, 7, 3, 12, 9, 15, 6, 10]",0.001965523,PrescribedDDT,8,1,126,2,TRUE
34,"[0, 1, 2, 3, 4, 6, 13, 5, 8, 12, 7, 11, 15, 9, 14, 10]",0.002021551,PrescribedDDT,6,4,134,2,TRUE
35,"[0, 1, 2, 10, 4, 15, 13, 9, 8, 5, 3, 6, 7, 14, 12, 11]",0.001995325,PrescribedDDT,6,3,129,2,TRUE
36,"[0, 1, 2, 9, 4, 10, 7, 6, 8, 5, 15, 11, 12, 3, 13, 14]",0.001996279,PrescribedDDT,6,3,129,2,TRUE
37,"[0, 1, 2, 14, 4, 7, 9, 12, 8, 11, 5, 6, 13, 15, 10, 3]",0.001992941,PrescribedDDT,10,1,144,2,TRUE
38,"[0, 1, 2, 15, 4, 3, 10, 12, 8, 5, 13, 11, 6, 9, 7, 14]",0.00199461,PrescribedDDT,6,5,133,2,TRUE
39,"[0, 1, 2, 7, 4, 15, 3, 14, 8, 11, 12, 10, 6, 13, 9, 5]",0.002991915,PrescribedDDT,6,2,127,2,TRUE
40,"[0, 1, 2, 5, 4, 14, 7, 9, 8, 10, 6, 11, 15, 13, 3, 12]",0.00199461,PrescribedDDT,6,6,135,2,TRUE
41,"[0, 1, 2, 14, 4, 5, 15, 12, 8, 6, 7, 9, 13, 11, 10, 3]",0.001997232,PrescribedDDT,6,4,134,2,TRUE
42,"[0, 1, 2, 3, 4, 5, 9, 13, 8, 10, 7, 6, 12, 14, 11, 15]",0.001993895,PrescribedDDT,8,2,143,2,TRUE
43,"[0, 1, 2, 10, 4, 7, 14, 11, 8, 3, 12, 13, 6, 9, 5, 15]",0.001964569,PrescribedDDT,6,2,127,2,TRUE
