,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count,nonlinearity,balancedness
0,"[0, 1, 2, 6, 4, 5, 7, 3]",0.004986525,PrescribedDDT,4,6,27,0,TRUE
1,"[0, 1, 2, 7, 4, 3, 5, 6]",0.000996828,PrescribedDDT,2,28,21,2,TRUE
2,"[0, 1, 2, 7, 4, 5, 3, 6]",0.001995087,PrescribedDDT,4,6,27,0,TRUE
3,"[0, 1, 2, 7, 4, 5, 3, 6]",0.002031088,PrescribedDDT,4,6,27,0,TRUE
4,"[0, 1, 2, 6, 4, 5, 7, 3]",0.000991821,PrescribedDDT,4,6,27,0,TRUE
5,"[0, 1, 2, 3, 4, 7, 5, 6]",0.001990795,PrescribedDDT,4,6,27,0,TRUE
6,"[0, 1, 2, 6, 4, 5, 7, 3]",0.001992226,PrescribedDDT,4,6,27,0,TRUE
7,"[0, 1, 2, 3, 4, 7, 5, 6]",0.000972271,PrescribedDDT,4,6,27,0,TRUE
8,"[0, 1, 2, 6, 4, 3, 7, 5]",0.002023458,PrescribedDDT,2,28,21,2,TRUE
9,"[0, 1, 2, 6, 4, 5, 7, 3]",0.001966953,PrescribedDDT,4,6,27,0,TRUE
10,"[0, 1, 2, 5, 4, 7, 6, 3]",0.001024008,PrescribedDDT,4,6,27,0,TRUE
11,"[0, 1, 2, 3, 4, 7, 5, 6]",0.001967907,PrescribedDDT,4,6,27,0,TRUE
12,"[0, 1, 2, 7, 4, 5, 3, 6]",0.002022982,PrescribedDDT,4,6,27,0,TRUE
13,"[0, 1, 2, 5, 4, 6, 3, 7]",0.001990795,PrescribedDDT,4,6,27,0,TRUE
14,"[0, 1, 2, 7, 4, 3, 5, 6]",0.000999928,PrescribedDDT,2,28,21,2,TRUE
15,"[0, 1, 2, 3, 4, 6, 7, 5]",0.001991034,PrescribedDDT,4,6,27,0,TRUE
16,"[0, 1, 2, 5, 4, 6, 3, 7]",0.001000643,PrescribedDDT,4,6,27,0,TRUE
17,"[0, 1, 2, 3, 4, 7, 5, 6]",0.001981974,PrescribedDDT,4,6,27,0,TRUE
18,"[0, 1, 2, 7, 4, 3, 5, 6]",0.001010656,PrescribedDDT,2,28,21,2,TRUE
19,"[0, 1, 2, 7, 4, 3, 6, 5]",0.001994848,PrescribedDDT,4,6,27,0,TRUE
20,"[0, 1, 2, 7, 4, 3, 6, 5]",0.00199461,PrescribedDDT,4,6,27,0,TRUE
21,"[0, 1, 2, 5, 4, 3, 7, 6]",0.001994133,PrescribedDDT,4,6,27,0,TRUE
22,"[0, 1, 2, 3, 4, 6, 7, 5]",0.00199151,PrescribedDDT,4,6,27,0,TRUE
23,"[0, 1, 2, 6, 4, 3, 7, 5]",0.001995325,PrescribedDDT,2,28,21,2,TRUE
24,"[0, 1, 2, 3, 4, 6, 7, 5]",0.001993895,PrescribedDDT,4,6,27,0,TRUE
25,"[0, 1, 2, 7, 4, 6, 5, 3]",0.001994848,PrescribedDDT,4,6,27,0,TRUE
26,"[0, 1, 2, 3, 4, 7, 5, 6]",0.001995325,PrescribedDDT,4,6,27,0,TRUE
27,"[0, 1, 2, 5, 4, 3, 7, 6]",0.001993656,PrescribedDDT,4,6,27,0,TRUE
28,"[0, 1, 2, 6, 4, 5, 7, 3]",0.001995802,PrescribedDDT,4,6,27,0,TRUE
29,"[0, 1, 2, 5, 4, 3, 7, 6]",0.001994371,PrescribedDDT,4,6,27,0,TRUE
30,"[0, 1, 2, 6, 4, 3, 7, 5]",0.00199461,PrescribedDDT,2,28,21,2,TRUE
31,"[0, 1, 2, 6, 4, 5, 7, 3]",0.001001835,PrescribedDDT,4,6,27,0,TRUE
32,"[0, 1, 2, 7, 4, 3, 5, 6]",0.001989126,PrescribedDDT,2,28,21,2,TRUE
33,"[0, 1, 2, 3, 4, 7, 5, 6]",0.001997232,PrescribedDDT,4,6,27,0,TRUE
34,"[0, 1, 2, 5, 4, 3, 7, 6]",0.001993179,PrescribedDDT,4,6,27,0,TRUE
35,"[0, 1, 2, 5, 4, 6, 7, 3]",0.001993895,PrescribedDDT,2,28,21,2,TRUE
36,"[0, 1, 2, 5, 4, 6, 7, 3]",0.001997471,PrescribedDDT,2,28,21,2,TRUE
37,"[0, 1, 2, 3, 4, 6, 7, 5]",0.001994848,PrescribedDDT,4,6,27,0,TRUE
38,"[0, 1, 2, 6, 4, 7, 5, 3]",0.001967192,PrescribedDDT,2,28,21,2,TRUE
