,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count,nonlinearity,balancedness
0,"[0, 1, 2, 12, 4, 10, 9, 15, 8, 11, 3, 6, 5, 7, 13, 14]",0.002991915,PrescribedDDT,6,4,131,2,TRUE
1,"[0, 1, 2, 11, 4, 10, 5, 3, 8, 12, 14, 9, 6, 13, 15, 7]",0.002019405,PrescribedDDT,6,4,131,2,TRUE
2,"[0, 1, 2, 10, 4, 12, 9, 6, 8, 7, 3, 11, 15, 13, 5, 14]",0.001993418,PrescribedDDT,8,1,137,2,TRUE
3,"[0, 1, 2, 7, 4, 12, 13, 6, 8, 15, 14, 11, 9, 3, 5, 10]",0.001995325,PrescribedDDT,6,6,135,2,TRUE
4,"[0, 1, 2, 6, 4, 7, 9, 14, 8, 15, 11, 3, 13, 5, 12, 10]",0.001997709,PrescribedDDT,6,2,127,2,TRUE
5,"[0, 1, 2, 5, 4, 7, 11, 6, 8, 15, 14, 12, 13, 10, 9, 3]",0.002964973,PrescribedDDT,8,1,128,2,TRUE
6,"[0, 1, 2, 14, 4, 7, 10, 9, 8, 5, 13, 6, 11, 3, 12, 15]",0.001994848,PrescribedDDT,6,2,130,2,TRUE
7,"[0, 1, 2, 6, 4, 7, 14, 9, 8, 3, 15, 10, 13, 5, 12, 11]",0.002018452,PrescribedDDT,8,1,126,2,TRUE
8,"[0, 1, 2, 7, 4, 12, 9, 13, 8, 14, 10, 11, 6, 3, 15, 5]",0.00200057,PrescribedDDT,6,8,136,2,TRUE
9,"[0, 1, 2, 11, 4, 13, 9, 10, 8, 3, 5, 14, 12, 15, 6, 7]",0.00199151,PrescribedDDT,8,1,146,0,TRUE
10,"[0, 1, 2, 6, 4, 14, 10, 3, 8, 11, 12, 13, 15, 9, 7, 5]",0.002431393,PrescribedDDT,4,18,123,4,TRUE
11,"[0, 1, 2, 5, 4, 11, 6, 13, 8, 12, 7, 3, 10, 9, 14, 15]",0.001964569,PrescribedDDT,6,3,132,2,TRUE
12,"[0, 1, 2, 7, 4, 10, 14, 3, 8, 6, 11, 13, 9, 15, 5, 12]",0.00199461,PrescribedDDT,6,4,131,2,TRUE
13,"[0, 1, 2, 13, 4, 7, 3, 9, 8, 10, 14, 12, 5, 11, 15, 6]",0.00199461,PrescribedDDT,8,1,137,2,TRUE
14,"[0, 1, 2, 13, 4, 6, 5, 15, 8, 3, 12, 7, 9, 14, 10, 11]",0.001994848,PrescribedDDT,4,21,126,2,TRUE
15,"[0, 1, 2, 14, 4, 11, 5, 10, 8, 13, 12, 6, 7, 15, 9, 3]",0.001994848,PrescribedDDT,8,1,129,2,TRUE
16,"[0, 1, 2, 9, 4, 15, 11, 13, 8, 12, 14, 7, 5, 6, 10, 3]",0.00299263,PrescribedDDT,8,1,130,2,TRUE
17,"[0, 1, 2, 5, 4, 7, 14, 15, 8, 11, 13, 3, 10, 9, 12, 6]",0.001994133,PrescribedDDT,6,2,127,2,TRUE
18,"[0, 1, 2, 9, 4, 6, 14, 13, 8, 5, 10, 7, 12, 15, 11, 3]",0.002025604,PrescribedDDT,8,1,138,2,TRUE
19,"[0, 1, 2, 6, 4, 5, 15, 12, 8, 13, 7, 3, 9, 10, 11, 14]",0.001963377,PrescribedDDT,6,3,132,2,TRUE
20,"[0, 1, 2, 12, 4, 11, 13, 14, 8, 7, 15, 6, 9, 10, 5, 3]",0.002019405,PrescribedDDT,6,2,127,2,TRUE
21,"[0, 1, 2, 15, 4, 9, 13, 5, 8, 6, 7, 12, 14, 11, 3, 10]",0.001995087,PrescribedDDT,6,2,127,4,TRUE
22,"[0, 1, 2, 15, 4, 3, 13, 12, 8, 10, 7, 14, 9, 6, 11, 5]",0.001970053,PrescribedDDT,6,3,132,2,TRUE
23,"[0, 1, 2, 15, 4, 9, 13, 6, 8, 10, 7, 14, 12, 5, 3, 11]",0.003015518,PrescribedDDT,6,3,132,2,TRUE
24,"[0, 1, 2, 10, 4, 14, 9, 15, 8, 6, 11, 3, 12, 13, 5, 7]",0.00197053,PrescribedDDT,8,1,132,2,TRUE
25,"[0, 1, 2, 6, 4, 15, 3, 9, 8, 12, 10, 5, 13, 14, 11, 7]",0.002018929,PrescribedDDT,6,2,130,2,TRUE
26,"[0, 1, 2, 9, 4, 3, 10, 6, 8, 11, 7, 13, 14, 5, 15, 12]",0.001995087,PrescribedDDT,6,2,127,2,TRUE
27,"[0, 1, 2, 12, 4, 10, 9, 7, 8, 5, 6, 13, 3, 15, 14, 11]",0.001970053,PrescribedDDT,8,4,142,2,TRUE
28,"[0, 1, 2, 11, 4, 13, 7, 14, 8, 9, 15, 6, 10, 12, 3, 5]",0.001995325,PrescribedDDT,8,1,136,2,TRUE
29,"[0, 1, 2, 15, 4, 9, 12, 10, 8, 5, 7, 11, 6, 3, 13, 14]",0.00201869,PrescribedDDT,8,1,136,2,TRUE
30,"[0, 1, 2, 11, 4, 15, 13, 6, 8, 5, 10, 9, 14, 7, 12, 3]",0.00197053,PrescribedDDT,6,6,135,2,TRUE
31,"[0, 1, 2, 5, 4, 12, 10, 13, 8, 9, 14, 3, 7, 6, 11, 15]",0.002018452,PrescribedDDT,6,1,122,4,TRUE
32,"[0, 1, 2, 7, 4, 6, 9, 10, 8, 12, 13, 11, 3, 5, 14, 15]",0.002967596,PrescribedDDT,8,1,130,2,TRUE
33,"[0, 1, 2, 3, 4, 12, 9, 6, 8, 14, 13, 7, 10, 5, 15, 11]",0.002022505,PrescribedDDT,8,1,130,2,TRUE
34,"[0, 1, 2, 6, 4, 9, 11, 13, 8, 15, 7, 10, 5, 14, 3, 12]",0.001991034,PrescribedDDT,8,1,126,2,TRUE
35,"[0, 1, 2, 11, 4, 10, 6, 12, 8, 15, 13, 7, 5, 9, 3, 14]",0.00199461,PrescribedDDT,6,2,124,2,TRUE
36,"[0, 1, 2, 9, 4, 14, 3, 7, 8, 12, 15, 10, 11, 6, 5, 13]",0.00197053,PrescribedDDT,8,1,128,2,TRUE
37,"[0, 1, 2, 15, 4, 13, 5, 3, 8, 14, 10, 11, 9, 12, 7, 6]",0.00202322,PrescribedDDT,6,4,131,2,TRUE
38,"[0, 1, 2, 7, 4, 11, 14, 13, 8, 9, 3, 10, 5, 15, 6, 12]",0.001994133,PrescribedDDT,6,5,136,2,TRUE
39,"[0, 1, 2, 3, 4, 12, 11, 5, 8, 9, 10, 15, 7, 13, 6, 14]",0.001994371,PrescribedDDT,8,1,132,2,TRUE
40,"[0, 1, 2, 9, 4, 7, 13, 15, 8, 10, 5, 3, 14, 12, 11, 6]",0.002992153,PrescribedDDT,8,2,133,2,TRUE
41,"[0, 1, 2, 5, 4, 15, 10, 13, 8, 3, 14, 6, 11, 12, 7, 9]",0.001967669,PrescribedDDT,8,1,138,2,TRUE
42,"[0, 1, 2, 14, 4, 5, 10, 13, 8, 12, 7, 6, 15, 3, 9, 11]",0.00199461,PrescribedDDT,6,2,127,2,TRUE
43,"[0, 1, 2, 11, 4, 14, 15, 5, 8, 13, 10, 6, 12, 9, 7, 3]",0.00202179,PrescribedDDT,8,2,143,2,TRUE
44,"[0, 1, 2, 9, 4, 12, 15, 6, 8, 5, 14, 3, 13, 10, 11, 7]",0.001967669,PrescribedDDT,8,1,131,2,TRUE
45,"[0, 1, 2, 11, 4, 7, 15, 3, 8, 10, 5, 6, 13, 14, 9, 12]",0.002021551,PrescribedDDT,8,1,130,2,TRUE
46,"[0, 1, 2, 7, 4, 12, 15, 10, 8, 6, 14, 13, 5, 3, 11, 9]",0.001995325,PrescribedDDT,8,1,137,2,TRUE
47,"[0, 1, 2, 7, 4, 12, 15, 13, 8, 14, 6, 5, 10, 9, 3, 11]",0.001993895,PrescribedDDT,6,2,133,2,TRUE
48,"[0, 1, 2, 14, 4, 12, 15, 7, 8, 5, 10, 6, 13, 3, 11, 9]",0.002995729,PrescribedDDT,6,3,126,2,TRUE
49,"[0, 1, 2, 14, 4, 3, 9, 7, 8, 6, 12, 15, 10, 5, 11, 13]",0.001991987,PrescribedDDT,6,4,131,2,TRUE
50,"[0, 1, 2, 11, 4, 15, 13, 14, 8, 6, 9, 10, 3, 5, 12, 7]",0.001993895,PrescribedDDT,8,1,136,2,TRUE
51,"[0, 1, 2, 15, 4, 9, 10, 12, 8, 6, 11, 14, 7, 13, 3, 5]",0.001967669,PrescribedDDT,6,4,131,2,TRUE
52,"[0, 1, 2, 6, 4, 14, 12, 15, 8, 10, 3, 13, 7, 5, 11, 9]",0.001993895,PrescribedDDT,6,4,134,2,TRUE
53,"[0, 1, 2, 15, 4, 7, 10, 14, 8, 11, 9, 6, 13, 5, 3, 12]",0.002022743,PrescribedDDT,8,1,132,2,TRUE
54,"[0, 1, 2, 14, 4, 7, 6, 10, 8, 9, 11, 5, 12, 15, 3, 13]",0.001994133,PrescribedDDT,8,2,151,0,TRUE
55,"[0, 1, 2, 11, 4, 3, 15, 14, 8, 10, 9, 7, 6, 13, 12, 5]",0.001967907,PrescribedDDT,8,3,143,2,TRUE
56,"[0, 1, 2, 15, 4, 12, 10, 3, 8, 13, 11, 14, 6, 7, 5, 9]",0.002021074,PrescribedDDT,6,4,131,2,TRUE
57,"[0, 1, 2, 5, 4, 7, 15, 6, 8, 13, 14, 3, 12, 11, 10, 9]",0.002996206,PrescribedDDT,8,1,138,2,TRUE
58,"[0, 1, 2, 12, 4, 6, 11, 7, 8, 14, 9, 13, 10, 3, 15, 5]",0.001996756,PrescribedDDT,4,18,123,4,TRUE
59,"[0, 1, 2, 13, 4, 10, 3, 9, 8, 12, 15, 14, 11, 7, 5, 6]",0.002021074,PrescribedDDT,6,5,136,2,TRUE
60,"[0, 1, 2, 5, 4, 9, 14, 6, 8, 10, 12, 3, 13, 11, 7, 15]",0.001995564,PrescribedDDT,6,3,126,2,TRUE
61,"[0, 1, 2, 6, 4, 15, 12, 14, 8, 13, 3, 11, 5, 9, 10, 7]",0.001995564,PrescribedDDT,8,1,129,2,TRUE
62,"[0, 1, 2, 3, 4, 12, 7, 11, 8, 13, 5, 15, 14, 6, 9, 10]",0.001992702,PrescribedDDT,6,3,126,4,TRUE
63,"[0, 1, 2, 6, 4, 10, 14, 7, 8, 11, 13, 15, 3, 12, 9, 5]",0.001997948,PrescribedDDT,8,1,132,2,TRUE
64,"[0, 1, 2, 11, 4, 13, 15, 3, 8, 7, 10, 14, 9, 5, 12, 6]",0.001990557,PrescribedDDT,6,2,127,2,TRUE
65,"[0, 1, 2, 13, 4, 12, 15, 11, 8, 6, 7, 14, 5, 9, 3, 10]",0.001995087,PrescribedDDT,6,4,131,2,TRUE
66,"[0, 1, 2, 5, 4, 7, 3, 11, 8, 14, 10, 13, 15, 12, 9, 6]",0.001994848,PrescribedDDT,6,2,127,2,TRUE
67,"[0, 1, 2, 15, 4, 3, 6, 10, 8, 13, 14, 9, 11, 12, 5, 7]",0.003025532,PrescribedDDT,6,1,125,2,TRUE
68,"[0, 1, 2, 9, 4, 7, 10, 12, 8, 13, 6, 5, 15, 11, 3, 14]",0.00199461,PrescribedDDT,8,1,130,2,TRUE
69,"[0, 1, 2, 3, 4, 10, 12, 14, 8, 13, 15, 7, 9, 5, 11, 6]",0.001994371,PrescribedDDT,6,4,128,2,TRUE
70,"[0, 1, 2, 7, 4, 3, 14, 12, 8, 11, 6, 10, 9, 5, 13, 15]",0.001996756,PrescribedDDT,8,1,130,2,TRUE
71,"[0, 1, 2, 14, 4, 15, 13, 6, 8, 12, 11, 10, 9, 5, 3, 7]",0.002066851,PrescribedDDT,6,2,133,2,TRUE
72,"[0, 1, 2, 11, 4, 3, 10, 9, 8, 13, 6, 5, 14, 7, 12, 15]",0.001953125,PrescribedDDT,6,11,148,0,TRUE
73,"[0, 1, 2, 10, 4, 11, 9, 5, 8, 3, 12, 7, 13, 6, 15, 14]",0.001995325,PrescribedDDT,6,3,126,2,TRUE
74,"[0, 1, 2, 3, 4, 14, 15, 7, 8, 10, 13, 9, 5, 6, 11, 12]",0.001993656,PrescribedDDT,6,4,131,2,TRUE
75,"[0, 1, 2, 12, 4, 11, 6, 3, 8, 5, 15, 13, 7, 9, 14, 10]",0.001995802,PrescribedDDT,6,3,132,2,TRUE
76,"[0, 1, 2, 10, 4, 11, 9, 3, 8, 14, 15, 5, 13, 12, 7, 6]",0.002117634,PrescribedDDT,8,1,136,2,TRUE
77,"[0, 1, 2, 11, 4, 15, 12, 9, 8, 7, 5, 13, 10, 6, 14, 3]",0.001899242,PrescribedDDT,6,2,127,2,TRUE
78,"[0, 1, 2, 11, 4, 7, 14, 12, 8, 15, 5, 3, 13, 9, 6, 10]",0.002993822,PrescribedDDT,6,2,127,2,TRUE
79,"[0, 1, 2, 14, 4, 5, 13, 11, 8, 15, 3, 12, 9, 7, 10, 6]",0.001965046,PrescribedDDT,6,2,127,2,TRUE
80,"[0, 1, 2, 11, 4, 3, 12, 14, 8, 5, 13, 9, 6, 15, 7, 10]",0.002022505,PrescribedDDT,6,5,136,2,TRUE
81,"[0, 1, 2, 5, 4, 7, 10, 6, 8, 14, 13, 9, 12, 3, 11, 15]",0.002023697,PrescribedDDT,6,6,132,2,TRUE
