,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count
0,"[4, 29, 9, 3, 25, 31, 19, 27, 24, 20, 1, 8, 22, 6, 23, 11, 30, 28, 26, 16, 0, 13, 10, 21, 17, 14, 5, 2, 7, 18, 15, 12]",0.10768556594848633,PrescribedDDT,4,81,546
1,"[26, 15, 1, 4, 3, 11, 13, 27, 5, 9, 22, 25, 10, 6, 31, 2, 0, 20, 23, 12, 19, 28, 7, 14, 18, 17, 16, 29, 21, 8, 24, 30]",0.23603057861328125,PrescribedDDT,4,69,534
2,"[20, 31, 16, 25, 14, 26, 29, 30, 22, 5, 6, 28, 19, 13, 7, 15, 1, 17, 18, 27, 0, 12, 24, 21, 10, 23, 9, 8, 4, 2, 11, 3]",0.061058759689331055,PrescribedDDT,4,72,537
3,"[6, 4, 13, 1, 15, 10, 21, 20, 2, 30, 25, 18, 23, 3, 19, 27, 9, 12, 29, 8, 31, 7, 16, 17, 5, 26, 11, 22, 0, 28, 24, 14]",3.020265579223633,PrescribedDDT,4,90,555
4,"[19, 29, 6, 13, 8, 0, 26, 1, 16, 4, 18, 30, 9, 22, 12, 17, 3, 7, 2, 23, 31, 24, 11, 14, 25, 28, 5, 21, 20, 10, 15, 27]",0.3211991786956787,PrescribedDDT,4,75,540
5,"[23, 28, 13, 26, 1, 22, 20, 10, 29, 4, 27, 18, 16, 24, 0, 25, 7, 31, 3, 14, 17, 12, 2, 30, 11, 8, 9, 15, 19, 21, 6, 5]",0.07307147979736328,PrescribedDDT,4,87,552
6,"[19, 12, 7, 10, 5, 28, 25, 15, 31, 11, 1, 26, 24, 23, 3, 16, 18, 20, 8, 9, 2, 14, 29, 17, 4, 0, 22, 6, 30, 27, 13, 21]",0.23894739151000977,PrescribedDDT,4,78,543
7,"[2, 26, 29, 4, 0, 15, 31, 18, 27, 28, 5, 19, 16, 10, 13, 22, 3, 7, 23, 20, 24, 8, 11, 9, 1, 30, 12, 21, 6, 14, 17, 25]",0.4342186450958252,PrescribedDDT,4,87,552
8,"[2, 10, 21, 22, 4, 17, 1, 30, 8, 29, 28, 3, 7, 14, 13, 25, 18, 23, 27, 5, 20, 24, 31, 9, 6, 15, 0, 12, 11, 26, 19, 16]",1.8438820838928223,PrescribedDDT,4,78,543
9,"[12, 28, 4, 16, 25, 0, 22, 18, 5, 27, 10, 17, 14, 15, 6, 11, 31, 29, 24, 8, 20, 19, 3, 9, 23, 21, 26, 13, 1, 7, 30, 2]",0.060320138931274414,PrescribedDDT,4,72,537
