,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count
0,"[7, 2, 0, 4, 6, 3, 5, 1]",0.004126310348510742,PrescribedDDT,4,6,27
1,"[0, 7, 4, 2, 3, 5, 1, 6]",0.0036613941192626953,PrescribedDDT,4,6,27
2,"[6, 3, 5, 0, 7, 1, 2, 4]",0.003876209259033203,PrescribedDDT,4,6,27
3,"[7, 0, 2, 5, 1, 3, 6, 4]",0.003851175308227539,PrescribedDDT,4,6,27
4,"[4, 0, 6, 7, 3, 2, 5, 1]",0.0038976669311523438,PrescribedDDT,4,6,27
5,"[5, 1, 6, 3, 7, 0, 2, 4]",0.0036826133728027344,PrescribedDDT,2,28,21
6,"[3, 6, 4, 7, 1, 0, 2, 5]",0.003676176071166992,PrescribedDDT,4,6,27
7,"[6, 1, 7, 3, 4, 0, 2, 5]",0.0036678314208984375,PrescribedDDT,4,6,27
8,"[0, 1, 2, 7, 5, 3, 6, 4]",0.0038487911224365234,PrescribedDDT,2,28,21
9,"[7, 4, 1, 6, 3, 5, 2, 0]",0.003664255142211914,PrescribedDDT,2,28,21
10,"[4, 2, 5, 3, 1, 0, 6, 7]",0.0037658214569091797,PrescribedDDT,4,6,27
11,"[5, 2, 3, 4, 6, 0, 7, 1]",0.0038390159606933594,PrescribedDDT,4,6,27
12,"[5, 4, 1, 3, 6, 0, 7, 2]",0.003681659698486328,PrescribedDDT,2,28,21
13,"[0, 3, 7, 5, 1, 6, 2, 4]",0.003692626953125,PrescribedDDT,4,6,27
14,"[3, 7, 6, 2, 0, 1, 4, 5]",0.0039522647857666016,PrescribedDDT,4,6,27
15,"[3, 6, 4, 0, 7, 1, 2, 5]",0.0036749839782714844,PrescribedDDT,4,6,27
16,"[1, 0, 4, 5, 2, 6, 3, 7]",0.003930568695068359,PrescribedDDT,4,6,27
17,"[6, 2, 4, 1, 7, 0, 5, 3]",0.0036449432373046875,PrescribedDDT,4,6,27
18,"[5, 1, 7, 3, 2, 4, 6, 0]",0.003920793533325195,PrescribedDDT,4,6,27
19,"[1, 2, 4, 6, 5, 0, 3, 7]",0.0036034584045410156,PrescribedDDT,2,28,21
20,"[3, 0, 1, 7, 4, 6, 2, 5]",0.0036635398864746094,PrescribedDDT,4,6,27
21,"[6, 3, 2, 5, 0, 4, 1, 7]",0.003618001937866211,PrescribedDDT,2,28,21
22,"[4, 2, 7, 6, 3, 0, 5, 1]",0.0037012100219726562,PrescribedDDT,4,6,27
23,"[2, 7, 1, 5, 4, 0, 3, 6]",0.003869771957397461,PrescribedDDT,4,6,27
24,"[7, 0, 3, 1, 5, 2, 6, 4]",0.0039713382720947266,PrescribedDDT,4,6,27
25,"[3, 7, 4, 5, 0, 6, 1, 2]",0.0036923885345458984,PrescribedDDT,2,28,21
26,"[1, 4, 7, 0, 5, 2, 6, 3]",0.003714323043823242,PrescribedDDT,4,6,27
27,"[3, 0, 7, 6, 4, 5, 1, 2]",0.0036351680755615234,PrescribedDDT,4,6,27
28,"[7, 3, 4, 6, 1, 2, 5, 0]",0.0037353038787841797,PrescribedDDT,4,6,27
29,"[3, 2, 6, 5, 1, 4, 0, 7]",0.003692150115966797,PrescribedDDT,4,6,27
30,"[4, 1, 6, 2, 0, 5, 7, 3]",0.003957033157348633,PrescribedDDT,4,6,27
31,"[3, 7, 4, 6, 5, 1, 0, 2]",0.0036525726318359375,PrescribedDDT,4,6,27
32,"[0, 5, 6, 7, 3, 4, 1, 2]",0.0037627220153808594,PrescribedDDT,4,6,27
33,"[6, 3, 7, 1, 5, 4, 0, 2]",0.003657817840576172,PrescribedDDT,4,6,27
34,"[1, 5, 7, 0, 6, 4, 3, 2]",0.003738880157470703,PrescribedDDT,4,6,27
35,"[6, 1, 3, 5, 0, 4, 7, 2]",0.003643512725830078,PrescribedDDT,4,6,27
36,"[4, 6, 2, 5, 3, 1, 7, 0]",0.003780841827392578,PrescribedDDT,4,6,27
37,"[5, 2, 0, 4, 1, 7, 6, 3]",0.003541231155395508,PrescribedDDT,4,6,27
38,"[0, 6, 5, 1, 3, 4, 7, 2]",0.0035512447357177734,PrescribedDDT,4,6,27
39,"[2, 5, 3, 0, 6, 7, 4, 1]",0.0036520957946777344,PrescribedDDT,2,28,21
40,"[4, 5, 2, 0, 3, 7, 1, 6]",0.0035758018493652344,PrescribedDDT,2,28,21
41,"[3, 1, 0, 7, 4, 6, 5, 2]",0.0036029815673828125,PrescribedDDT,4,6,27
42,"[6, 0, 4, 7, 5, 1, 3, 2]",0.003579378128051758,PrescribedDDT,2,28,21
43,"[0, 4, 2, 5, 7, 3, 1, 6]",0.003598451614379883,PrescribedDDT,4,6,27
44,"[0, 3, 6, 1, 4, 2, 5, 7]",0.003557443618774414,PrescribedDDT,2,28,21
45,"[1, 0, 3, 4, 5, 6, 7, 2]",0.0036056041717529297,PrescribedDDT,4,6,27
46,"[6, 1, 2, 5, 3, 0, 4, 7]",0.003998994827270508,PrescribedDDT,4,6,27
47,"[1, 5, 7, 0, 3, 2, 6, 4]",0.0036144256591796875,PrescribedDDT,4,6,27
48,"[5, 1, 4, 3, 7, 6, 0, 2]",0.003515005111694336,PrescribedDDT,4,6,27
49,"[7, 4, 3, 2, 6, 0, 5, 1]",0.003661632537841797,PrescribedDDT,4,6,27
50,"[6, 2, 7, 5, 3, 1, 0, 4]",0.0036516189575195312,PrescribedDDT,4,6,27
51,"[5, 6, 3, 0, 7, 1, 2, 4]",0.003828287124633789,PrescribedDDT,4,6,27
52,"[5, 0, 7, 4, 6, 2, 1, 3]",0.003651857376098633,PrescribedDDT,2,28,21
53,"[1, 3, 6, 2, 7, 5, 4, 0]",0.0037195682525634766,PrescribedDDT,4,6,27
54,"[1, 4, 7, 6, 0, 3, 2, 5]",0.003621816635131836,PrescribedDDT,4,6,27
55,"[3, 7, 6, 2, 5, 4, 1, 0]",0.0040514469146728516,PrescribedDDT,4,6,27
56,"[7, 4, 5, 1, 2, 3, 0, 6]",0.0036389827728271484,PrescribedDDT,4,6,27
57,"[5, 7, 0, 2, 3, 6, 4, 1]",0.0037925243377685547,PrescribedDDT,4,6,27
58,"[7, 1, 6, 0, 5, 2, 3, 4]",0.0036458969116210938,PrescribedDDT,4,6,27
59,"[2, 0, 5, 3, 1, 7, 4, 6]",0.003644704818725586,PrescribedDDT,4,6,27
60,"[7, 4, 3, 2, 6, 1, 0, 5]",0.003598451614379883,PrescribedDDT,4,6,27
61,"[4, 0, 1, 5, 2, 7, 3, 6]",0.0035533905029296875,PrescribedDDT,4,6,27
62,"[6, 0, 4, 3, 2, 7, 1, 5]",0.003617525100708008,PrescribedDDT,4,6,27
63,"[7, 3, 6, 0, 2, 1, 4, 5]",0.003666400909423828,PrescribedDDT,4,6,27
64,"[3, 2, 5, 7, 0, 1, 4, 6]",0.0038518905639648438,PrescribedDDT,4,6,27
65,"[7, 3, 5, 1, 2, 0, 4, 6]",0.003645658493041992,PrescribedDDT,4,6,27
66,"[3, 2, 0, 5, 6, 7, 4, 1]",0.0036020278930664062,PrescribedDDT,4,6,27
67,"[7, 4, 5, 1, 3, 6, 0, 2]",0.0036618709564208984,PrescribedDDT,4,6,27
68,"[5, 6, 2, 1, 3, 4, 7, 0]",0.003574848175048828,PrescribedDDT,4,6,27
69,"[1, 2, 0, 4, 6, 3, 5, 7]",0.0036530494689941406,PrescribedDDT,2,28,21
70,"[6, 0, 1, 3, 7, 5, 2, 4]",0.0036220550537109375,PrescribedDDT,4,6,27
71,"[2, 4, 1, 7, 3, 0, 6, 5]",0.003641366958618164,PrescribedDDT,4,6,27
72,"[2, 6, 0, 5, 3, 1, 4, 7]",0.0035750865936279297,PrescribedDDT,2,28,21
73,"[7, 0, 5, 3, 1, 6, 4, 2]",0.003847837448120117,PrescribedDDT,4,6,27
74,"[3, 5, 0, 1, 4, 6, 2, 7]",0.0036554336547851562,PrescribedDDT,2,28,21
75,"[5, 3, 1, 4, 6, 0, 7, 2]",0.003844022750854492,PrescribedDDT,4,6,27
76,"[3, 4, 7, 6, 1, 5, 0, 2]",0.003662586212158203,PrescribedDDT,4,6,27
77,"[7, 6, 5, 2, 4, 3, 1, 0]",0.003827810287475586,PrescribedDDT,4,6,27
78,"[5, 7, 3, 1, 4, 2, 0, 6]",0.003729104995727539,PrescribedDDT,4,6,27
79,"[4, 6, 0, 3, 7, 5, 1, 2]",0.0038030147552490234,PrescribedDDT,4,6,27
80,"[6, 4, 5, 7, 1, 0, 3, 2]",0.004142045974731445,PrescribedDDT,4,6,27
81,"[5, 3, 1, 0, 6, 2, 4, 7]",0.00360107421875,PrescribedDDT,2,28,21
82,"[2, 6, 0, 7, 3, 4, 5, 1]",0.0036072731018066406,PrescribedDDT,4,6,27
83,"[3, 5, 2, 6, 7, 4, 1, 0]",0.0036039352416992188,PrescribedDDT,4,6,27
84,"[6, 1, 2, 3, 4, 5, 7, 0]",0.003822803497314453,PrescribedDDT,4,6,27
85,"[3, 0, 5, 2, 4, 7, 1, 6]",0.00382232666015625,PrescribedDDT,4,6,27
86,"[6, 7, 4, 1, 3, 5, 0, 2]",0.003711223602294922,PrescribedDDT,2,28,21
87,"[3, 0, 2, 4, 7, 6, 1, 5]",0.0035703182220458984,PrescribedDDT,4,6,27
88,"[7, 2, 0, 1, 5, 6, 3, 4]",0.003542661666870117,PrescribedDDT,2,28,21
89,"[5, 6, 3, 0, 7, 2, 4, 1]",0.00366973876953125,PrescribedDDT,4,6,27
90,"[6, 5, 2, 1, 4, 0, 3, 7]",0.003814697265625,PrescribedDDT,4,6,27
